Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
1;Brenden Aaronson;us USA;MF;Leeds United;22-004;2000;11;11;924;10.3;1;1;1;0;0;2;0;0.10;0.10;0.19;0.10;0.19;1.5;1.5;2.3;3.8;0.15;0.22;0.37;0.15;0.37;Matches;5bc43860
2;Che Adams;sct SCO;FW;Southampton;26-105;1996;11;9;823;9.1;3;1;3;0;0;0;0;0.33;0.11;0.44;0.33;0.44;2.5;2.5;1.2;3.7;0.27;0.14;0.41;0.27;0.41;Matches;f2bf1b0f
3;Tyler Adams;us USA;MF;Leeds United;23-254;1999;10;10;900;10.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.8;0.9;0.00;0.08;0.09;0.00;0.09;Matches;2b09d998
4;Tosin Adarabioyo;eng ENG;DF;Fulham;25-032;1997;10;10;900;10.0;1;0;1;0;0;0;0;0.10;0.00;0.10;0.10;0.10;0.1;0.1;0.0;0.2;0.01;0.00;0.02;0.01;0.02;Matches;c81d773d
5;Rayan Aït Nouri;fr FRA;DF;Wolves;21-142;2001;9;7;649;7.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.8;1.2;0.04;0.12;0.16;0.04;0.16;Matches;9b398aea
6;Kristoffer Ajer;no NOR;DF;Brentford;24-192;1998;5;5;420;4.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches;a8c0acb7
7;Manuel Akanji;ch SUI;DF;Manchester City;27-099;1995;5;5;450;5.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.02;0.00;0.02;0.02;0.02;Matches;89ac64a6
8;Nathan Aké;nl NED;DF;Manchester City;27-250;1995;7;6;481;5.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.02;0.00;0.02;0.02;0.02;Matches;eaeca114
9;Marc Albrighton;eng ENG;MF;Leicester City;32-342;1989;2;0;18;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.22;0.00;0.22;0.22;0.22;Matches;b827d5b3
10;Thiago Alcántara;es ESP;MF;Liverpool;31-198;1991;5;5;374;4.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.3;0.01;0.06;0.07;0.01;0.07;Matches;77e84962
11;Trent Alexander-Arnold;eng ENG;DF;Liverpool;24-019;1998;11;9;735;8.2;1;0;1;0;0;2;0;0.12;0.00;0.12;0.12;0.12;1.0;1.0;1.7;2.7;0.13;0.21;0.33;0.13;0.33;Matches;cd1acf9d
12;Alisson;br BRA;GK;Liverpool;30-024;1992;11;11;990;11.0;0;1;0;0;0;0;0;0.00;0.09;0.09;0.00;0.09;0.0;0.0;0.3;0.3;0.00;0.03;0.03;0.00;0.03;Matches;7a2e46a8
